neighbour,mean,median,std,25th_percentile,75th_percentile
1,0.22233658,0.18996951,0.12596618,0.13494672626256943,0.26807425171136856
2,0.27123582,0.24279669,0.13427718,0.17599617689847946,0.320442870259285
3,0.30693015,0.28060544,0.14983518,0.20063594356179237,0.36951858550310135
4,0.33456135,0.30379015,0.15751155,0.2223367765545845,0.39952118694782257
5,0.35583106,0.32471877,0.15885396,0.24452518671751022,0.4127916842699051
6,0.37535557,0.33356646,0.16323705,0.2690871059894562,0.44506966322660446
7,0.3922078,0.35855818,0.16673502,0.28391824662685394,0.46636561304330826
8,0.40814537,0.37427157,0.16974752,0.2942996844649315,0.4795664995908737
9,0.42249268,0.38447425,0.17256056,0.30323800444602966,0.5017652958631516
10,0.43562293,0.39524725,0.1748425,0.3146396204829216,0.5260512083768845
