neighbour,mean,median,std,25th_percentile,75th_percentile
1,0.22233745,0.18998684,0.12598178,0.1348714455962181,0.2680361419916153
2,0.2712312,0.24286619,0.13428186,0.17601778358221054,0.3204011917114258
3,0.30693105,0.2806164,0.14983755,0.20067431405186653,0.36944250017404556
4,0.33456025,0.3037963,0.15752849,0.22239411249756813,0.39908627420663834
5,0.3558193,0.32472712,0.15886241,0.24453742429614067,0.41277000308036804
6,0.37536013,0.333516,0.16325784,0.2690868526697159,0.44502291828393936
7,0.3922184,0.35861006,0.16674961,0.2840665578842163,0.46632905304431915
8,0.40814155,0.3742382,0.16975556,0.29433201253414154,0.4796431064605713
9,0.42250228,0.38450617,0.17258966,0.3033447787165642,0.5018208175897598
10,0.43562612,0.39544138,0.17486241,0.31462980061769485,0.5258656740188599
