,Precision@1,Precision@2,Precision@3,Precision@4,Precision@5,Precision@6,Precision@7,Precision@8,Precision@9,Precision@10
"{'use_pca': True, 'embedding_dim': 2, 'use_pq': False}",0.01,0.01425,0.01799999999999999,0.023375,0.028500000000000098,0.032166666666666566,0.03421428571428584,0.035,0.0365000000000003,0.03924999999999997
"{'use_pca': True, 'embedding_dim': 4, 'use_pq': False}",0.0695,0.08775,0.10350000000000047,0.114375,0.12089999999999901,0.1318333333333329,0.13878571428571343,0.1449375,0.15111111111111158,0.15669999999999984
"{'use_pca': True, 'embedding_dim': 16, 'use_pq': False}",0.554,0.58975,0.6159999999999988,0.63325,0.6453999999999916,0.6569999999999991,0.6627857142857184,0.6684375,0.6760000000000129,0.6790500000000002
"{'use_pca': True, 'embedding_dim': 64, 'use_pq': False}",0.762,0.76375,0.7710000000000055,0.77875,0.7833999999999834,0.7871666666666641,0.7903571428571559,0.790875,0.7925000000000223,0.7942500000000016
"{'use_pca': True, 'embedding_dim': 256, 'use_pq': False}",0.7875,0.79025,0.7918333333333382,0.795125,0.7961999999999845,0.7979166666666637,0.7991428571428699,0.79925,0.7997222222222437,0.8010000000000018
"{'use_pq': True, 'n_pq_subvectors': 8, 'n_pq_centroids': 32}",0.2165,0.2725,0.3006666666666665,0.320625,0.33869999999999906,0.35200000000000015,0.3628571428571456,0.3735625,0.3807222222222198,0.39019999999999844
"{'use_pq': True, 'n_pq_subvectors': 16, 'n_pq_centroids': 32}",0.358,0.40025,0.4338333333333341,0.456125,0.47390000000000154,0.4915000000000001,0.5027857142857143,0.5125625,0.5193888888888892,0.5274500000000009
"{'use_pq': True, 'n_pq_subvectors': 32, 'n_pq_centroids': 32}",0.472,0.517,0.5518333333333317,0.569,0.578899999999998,0.5947499999999993,0.6024285714285704,0.61,0.6122222222222294,0.6156500000000008
"{'use_pq': True, 'n_pq_subvectors': 64, 'n_pq_centroids': 32}",0.545,0.5775,0.5974999999999993,0.614875,0.6298999999999924,0.6418333333333329,0.6482142857142892,0.6540625,0.6605555555555679,0.6656000000000007
"{'use_pca': True, 'embedding_dim': 64, 'use_pq': True, 'n_pq_subvectors': 8, 'n_pq_centroids': 32}",0.1405,0.17675,0.20249999999999915,0.214,0.22289999999999638,0.22858333333333414,0.23471428571428743,0.239875,0.24727777777777601,0.2534000000000003
"{'use_pca': True, 'embedding_dim': 64, 'use_pq': True, 'n_pq_subvectors': 16, 'n_pq_centroids': 32}",0.239,0.29125,0.31850000000000095,0.335625,0.34689999999999993,0.35691666666666594,0.36535714285714577,0.3715625,0.378222222222221,0.382949999999999
"{'use_pca': True, 'embedding_dim': 64, 'use_pq': True, 'n_pq_subvectors': 64, 'n_pq_centroids': 32}",0.6795,0.70375,0.724166666666669,0.72975,0.7387999999999839,0.7463333333333318,0.7520714285714402,0.7539375,0.7585000000000217,0.7617499999999995
