Configuration,Time (s)
"{'use_pca': True, 'embedding_dim': 2, 'use_pq': False}","[0.0001425166130065918, 0.0001407710313796997, 0.0001400982141494751, 0.0001418166160583496, 0.0001483159065246582, 0.00014441585540771485, 0.00014616024494171141, 0.00014466822147369385, 0.00014920592308044435, 0.00014353430271148683]"
"{'use_pca': True, 'embedding_dim': 4, 'use_pq': False}","[0.00015255749225616454, 0.00014586925506591798, 0.00014916360378265382, 0.00014967989921569824, 0.00015612852573394776, 0.0001464933156967163, 0.00015654897689819337, 0.00014976298809051515, 0.00014589357376098633, 0.00014584052562713622]"
"{'use_pca': True, 'embedding_dim': 16, 'use_pq': False}","[0.00018981242179870605, 0.00019179368019104005, 0.0001938767433166504, 0.00019203472137451172, 0.0001920757293701172, 0.00019633805751800536, 0.00019395792484283448, 0.00019829356670379638, 0.00019337332248687745, 0.0002037971019744873]"
"{'use_pca': True, 'embedding_dim': 64, 'use_pq': False}","[0.0005013281106948852, 0.0005191155672073364, 0.000529083251953125, 0.0005151559114456177, 0.0005214731693267822, 0.0005105935335159302, 0.0005150572061538697, 0.0005272356271743775, 0.0005296003818511963, 0.0005325393676757813]"
"{'use_pca': True, 'embedding_dim': 256, 'use_pq': False}","[0.001966793656349182, 0.0019697651863098144, 0.002038739085197449, 0.0020259711742401125, 0.0019874107837677003, 0.002062770485877991, 0.0020443081855773928, 0.0020587857961654665, 0.0020326119661331177, 0.0020418689250946043]"
"{'use_pq': True, 'n_pq_subvectors': 8, 'n_pq_centroids': 32}","[0.0003065621852874756, 0.00029914426803588867, 0.00029118061065673827, 0.00029547274112701416, 0.00029748809337615966, 0.0002998877763748169, 0.00029605257511138917, 0.0002938965559005737, 0.00029173314571380617, 0.0002998125553131104]"
"{'use_pq': True, 'n_pq_subvectors': 16, 'n_pq_centroids': 32}","[0.000512565016746521, 0.0004701571464538574, 0.00045149552822113036, 0.0004564768075942993, 0.000459363579750061, 0.00045361578464508056, 0.0005085705518722534, 0.00046349000930786134, 0.00045542681217193603, 0.0004532604217529297]"
"{'use_pq': True, 'n_pq_subvectors': 32, 'n_pq_centroids': 32}","[0.0007705423831939698, 0.0007514251470565796, 0.0007852456569671631, 0.0007561004161834717, 0.0007606415748596192, 0.0007674268484115601, 0.0007483000755310058, 0.0007496225833892822, 0.000766495943069458, 0.0007507013082504272]"
"{'use_pq': True, 'n_pq_subvectors': 64, 'n_pq_centroids': 32}","[0.0013139797449111938, 0.0013451520204544067, 0.0014058983325958253, 0.0012601962089538574, 0.0012595688104629517, 0.001305085778236389, 0.0012901029586791992, 0.001291303038597107, 0.0012780526876449586, 0.0012665925025939942]"
"{'use_pca': True, 'embedding_dim': 64, 'use_pq': True, 'n_pq_subvectors': 8, 'n_pq_centroids': 32}","[0.0005741568803787232, 0.0005637950897216797, 0.0005709640979766846, 0.0005717793703079224, 0.0005812796354293824, 0.0005666190385818482, 0.0005628503561019897, 0.0005665314197540283, 0.0005717236995697022, 0.000562395453453064]"
"{'use_pca': True, 'embedding_dim': 64, 'use_pq': True, 'n_pq_subvectors': 16, 'n_pq_centroids': 32}","[0.0007609009742736816, 0.0006803556680679321, 0.0006732521057128906, 0.0006789584159851074, 0.0006771097183227539, 0.0006714104413986206, 0.0006788387298583984, 0.0006793842315673828, 0.0006747970581054688, 0.0006746388673782349]"
"{'use_pca': True, 'embedding_dim': 64, 'use_pq': True, 'n_pq_subvectors': 64, 'n_pq_centroids': 32}","[0.0012223492860794067, 0.0012403759956359864, 0.001224567413330078, 0.0012874090671539306, 0.0012338989973068237, 0.001235788106918335, 0.0012173547744750977, 0.0012109330892562866, 0.0012247549295425415, 0.0012197701930999757]"
Reference,"[0.02805738615989685, 0.028291905999183655, 0.02816337013244629, 0.028487519025802613, 0.028632313251495362, 0.02846151852607727, 0.02777759826183319, 0.028547370314598083, 0.02365595018863678, 0.023984445095062257]"
