,Precision@1,Precision@2,Precision@3,Precision@4,Precision@5,Precision@6,Precision@7,Precision@8,Precision@9,Precision@10
"{'use_pca': True, 'embedding_dim': 2, 'use_pq': False}",0.03,0.0225,0.03333333333333332,0.0425,0.059999999999999984,0.07749999999999997,0.08642857142857142,0.09125,0.0944444444444443,0.1035
"{'use_pca': True, 'embedding_dim': 4, 'use_pq': False}",0.14,0.21,0.225,0.24,0.2720000000000001,0.2941666666666667,0.30428571428571455,0.3175,0.33,0.33549999999999996
"{'use_pca': True, 'embedding_dim': 16, 'use_pq': False}",0.69,0.7525,0.7783333333333334,0.77375,0.7949999999999997,0.8099999999999998,0.8064285714285724,0.814375,0.8205555555555533,0.8180000000000014
"{'use_pca': True, 'embedding_dim': 64, 'use_pq': False}",0.835,0.875,0.883333333333333,0.89,0.8940000000000006,0.8958333333333337,0.8907142857142867,0.893125,0.8922222222222203,0.8920000000000017
"{'use_pca': True, 'embedding_dim': 256, 'use_pq': False}",0.88,0.9,0.8999999999999996,0.89625,0.8970000000000007,0.9008333333333337,0.8964285714285724,0.89875,0.897777777777776,0.8975000000000015
"{'use_pq': True, 'n_pq_subvectors': 8, 'n_pq_centroids': 32}",0.39,0.4525,0.49833333333333335,0.525,0.5429999999999998,0.5599999999999999,0.5714285714285708,0.5875,0.5994444444444443,0.6059999999999998
"{'use_pq': True, 'n_pq_subvectors': 16, 'n_pq_centroids': 32}",0.575,0.58,0.5966666666666669,0.62125,0.6399999999999991,0.6575000000000003,0.6714285714285709,0.678125,0.6872222222222212,0.6919999999999992
"{'use_pq': True, 'n_pq_subvectors': 32, 'n_pq_centroids': 32}",0.6,0.6625,0.6983333333333335,0.695,0.732999999999999,0.7358333333333327,0.7357142857142861,0.749375,0.757777777777776,0.754
"{'use_pq': True, 'n_pq_subvectors': 64, 'n_pq_centroids': 32}",0.635,0.735,0.7450000000000001,0.73875,0.7519999999999984,0.7766666666666667,0.7707142857142864,0.77875,0.79222222222222,0.7895000000000013
"{'use_pca': True, 'embedding_dim': 64, 'use_pq': True, 'n_pq_subvectors': 8, 'n_pq_centroids': 32}",0.25,0.28,0.2900000000000001,0.305,0.31500000000000017,0.32500000000000023,0.3371428571428571,0.3475,0.36000000000000026,0.3699999999999998
"{'use_pca': True, 'embedding_dim': 64, 'use_pq': True, 'n_pq_subvectors': 16, 'n_pq_centroids': 32}",0.325,0.3475,0.3983333333333336,0.40875,0.41900000000000054,0.4241666666666667,0.4292857142857143,0.438125,0.44888888888888895,0.45649999999999985
"{'use_pca': True, 'embedding_dim': 64, 'use_pq': True, 'n_pq_subvectors': 64, 'n_pq_centroids': 32}",0.775,0.8,0.8166666666666668,0.82,0.8270000000000002,0.8408333333333339,0.8428571428571437,0.848125,0.8455555555555531,0.8435000000000012
