Configuration,Time (s)
"{'use_pca': True, 'embedding_dim': 2, 'use_pq': False}","[0.00014011263847351073, 0.00012887239456176757, 0.0001279151439666748, 0.00013692498207092284, 0.0001414203643798828, 0.00012813329696655272, 0.00013124465942382813, 0.0001237523555755615, 0.0002132415771484375, 0.00012678265571594238]"
"{'use_pca': True, 'embedding_dim': 4, 'use_pq': False}","[0.0001680731773376465, 0.0001440143585205078, 0.00014529943466186522, 0.00015167117118835449, 0.0001516449451446533, 0.00015282988548278808, 0.00014978885650634765, 0.00015204668045043946, 0.00014478683471679687, 0.0001456749439239502]"
"{'use_pca': True, 'embedding_dim': 16, 'use_pq': False}","[0.00018201470375061034, 0.00017110347747802734, 0.00017278552055358887, 0.00016398310661315917, 0.00017264604568481445, 0.00017815113067626954, 0.00016972064971923828, 0.0001675713062286377, 0.0001709604263305664, 0.00019549846649169922]"
"{'use_pca': True, 'embedding_dim': 64, 'use_pq': False}","[0.00043979763984680175, 0.00041909456253051757, 0.0004227352142333984, 0.00042590141296386716, 0.0005024755001068115, 0.00047687530517578127, 0.0005174517631530762, 0.00047146439552307127, 0.00048052430152893064, 0.00047638535499572754]"
"{'use_pca': True, 'embedding_dim': 256, 'use_pq': False}","[0.001694943904876709, 0.0018567252159118653, 0.0017287468910217286, 0.001707836389541626, 0.0016641950607299805, 0.0016936850547790527, 0.0016777455806732179, 0.0016730868816375733, 0.0016703510284423828, 0.0016795444488525392]"
"{'use_pq': True, 'n_pq_subvectors': 8, 'n_pq_centroids': 32}","[0.00024657487869262696, 0.00024438977241516115, 0.00024208903312683105, 0.00024433135986328124, 0.00024751901626586916, 0.00024171948432922364, 0.00024174690246582032, 0.00024116277694702148, 0.0003220391273498535, 0.0002427542209625244]"
"{'use_pq': True, 'n_pq_subvectors': 16, 'n_pq_centroids': 32}","[0.0003091299533843994, 0.00030806660652160645, 0.0003050541877746582, 0.000303797721862793, 0.0003087747097015381, 0.0003233814239501953, 0.0003096318244934082, 0.00031768083572387696, 0.0003278028964996338, 0.000317232608795166]"
"{'use_pq': True, 'n_pq_subvectors': 32, 'n_pq_centroids': 32}","[0.0005085527896881104, 0.00046620726585388183, 0.0004918837547302246, 0.0004914259910583496, 0.0004631543159484863, 0.0004906868934631348, 0.0004920768737792969, 0.0004810452461242676, 0.0004789543151855469, 0.0005093920230865479]"
"{'use_pq': True, 'n_pq_subvectors': 64, 'n_pq_centroids': 32}","[0.0007951033115386963, 0.0009273386001586914, 0.0009162342548370362, 0.0009887492656707763, 0.0008268475532531739, 0.0007525777816772461, 0.000773775577545166, 0.0007547914981842041, 0.0007824850082397461, 0.0007850205898284912]"
"{'use_pca': True, 'embedding_dim': 64, 'use_pq': True, 'n_pq_subvectors': 8, 'n_pq_centroids': 32}","[0.0004919397830963134, 0.00045302987098693847, 0.00046088337898254395, 0.0004935348033905029, 0.0004727983474731445, 0.0004395473003387451, 0.00046089649200439456, 0.00043299436569213865, 0.0004308807849884033, 0.00042195677757263185]"
"{'use_pca': True, 'embedding_dim': 64, 'use_pq': True, 'n_pq_subvectors': 16, 'n_pq_centroids': 32}","[0.0004764723777770996, 0.0005326235294342041, 0.0004954278469085693, 0.0004617142677307129, 0.0005095577239990234, 0.0004623985290527344, 0.000498208999633789, 0.0004989087581634521, 0.0004593491554260254, 0.00046333789825439456]"
"{'use_pca': True, 'embedding_dim': 64, 'use_pq': True, 'n_pq_subvectors': 64, 'n_pq_centroids': 32}","[0.0006438791751861572, 0.0007071828842163086, 0.0008688104152679443, 0.0008388650417327881, 0.0007864594459533692, 0.0007163500785827637, 0.0007191026210784913, 0.0007081234455108643, 0.0007054769992828369, 0.0007269096374511719]"
Reference,"[0.005357077121734619, 0.005372319221496582, 0.0053743493556976316, 0.005164169073104859, 0.005262384414672852, 0.005349138975143433, 0.005310605764389038, 0.005214221477508545, 0.005093525648117065, 0.005213041305541993]"
